budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,genres_parsed,keywords_parsed,num_genres,num_keywords,original_language_index,features,success,rawPrediction,probability,prediction
12500000,"""[{""""id"""": 18"," """"name"""": """"Drama""""}"," {""""id"""": 10751"," """"name"""": """"Family""""}]""",http://www.theperfectgamemovie.com,56601,"""[{""""id"""": 1480",0.0," {""""id"""": 6075"," """"name"""": """"sport""""}"," {""""id"""": 9672",0,0.0," """"name"""": """"family relationships""""}]""",en,The Perfect Game,"Based on a true story, a group of boys from Monterrey, Mexico who become the first non-U.S. team to win the Little League World Series.",0.903529,0,,,-1,-1,650.0,"[12500000.0,-1.0,-1.0,650.0,0.0,0.0,0.9035289883613586,0.0]",0,"[18.202369373137678,1.7976306268623239]","[0.9101184686568837,0.08988153134311617]",0.0
40000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 878"," """"name"""": """"Science Fiction""""}]""",http://lucymovie.com/,240832,"""[{""""id"""": 310",0.0," {""""id"""": 1475"," """"name"""": """"telepathy""""}"," {""""id"""": 2051",0,0.0," """"name"""": """"drug mule""""}"," {""""id"""": 5086"," """"name"""": """"telekinesis""""}"," {""""id"""": 9685",0.0,0,,,-1,-1,266.0,"(8,[0,1,2,3],[40000000.0,-1.0,-1.0,266.0])",0,"[18.12223888413707,1.8777611158629295]","[0.9061119442068535,0.09388805579314648]",0.0
17000000,"""[{""""id"""": 27"," """"name"""": """"Horror""""}"," {""""id"""": 18"," """"name"""": """"Drama""""}"," {""""id"""": 53"," """"name"""": """"Thriller""""}]""",http://www.theshallows-movie.com,332567.0,"""[{""""id"""": 534"," """"name"""": """"mexico""""}"," {""""id"""": 966",0,0.0," """"name"""": """"surfer""""}"," {""""id"""": 2041"," """"name"""": """"island""""}"," {""""id"""": 10349",0.0,0,,,-1,-1,0.0,"(8,[0,1,2,4],[17000000.0,-1.0,-1.0,332567.0])",0,"[17.761120516664462,2.2388794833355377]","[0.8880560258332231,0.11194397416677689]",0.0
19000000,"""[{""""id"""": 10749"," """"name"""": """"Romance""""}"," {""""id"""": 35"," """"name"""": """"Comedy""""}]""",http://www.leapyearfilm.net,25195,"""[{""""id"""": 444",0.0," {""""id"""": 1010"," """"name"""": """"bar""""}"," {""""id"""": 1209",0,0.0," """"name"""": """"marriage proposal""""}"," {""""id"""": 3800"," """"name"""": """"airplane""""}"," {""""id"""": 5319",0.0,0,,,-1,-1,473.0,"(8,[0,1,2,3],[19000000.0,-1.0,-1.0,473.0])",0,"[18.719436184057198,1.280563815942803]","[0.9359718092028599,0.06402819079714014]",0.0
25000000,"""[{""""id"""": 18"," """"name"""": """"Drama""""}]""",http://augustrushmovie.warnerbros.com/,5123,"""[{""""id"""": 248"," """"name"""": """"date""""}"," {""""id"""": 697",0.0," {""""id"""": 699"," """"name"""": """"love at first sight""""}"," {""""id"""": 714",0,0.0," """"name"""": """"guitar""""}"," {""""id"""": 1452"," """"name"""": """"loss of child""""}"," {""""id"""": 1808",0.0,0,,,-1,-1,35.0,"(8,[0,1,2,3],[25000000.0,-1.0,-1.0,35.0])",0,"[19.553796106149267,0.4462038938507313]","[0.9776898053074634,0.022310194692536565]",0.0
19000000,"""[{""""id"""": 35"," """"name"""": """"Comedy""""}"," {""""id"""": 18"," """"name"""": """"Drama""""}"," {""""id"""": 10749"," """"name"""": """"Romance""""}]""",http://www.iamrogue.com/takemehometonight/fullsite/,50725.0,"""[{""""id"""": 1412"," """"name"""": """"becoming an adult""""}"," {""""id"""": 2251",0,0.0," """"name"""": """"night""""}"," {""""id"""": 5923"," """"name"""": """"sister""""}"," {""""id"""": 8438",0.0,0,,,-1,-1,4.0,"[19000000.0,-1.0,-1.0,4.0,50725.0,0.0,0.0,0.0]",0,"[17.511773610239345,2.4882263897606536]","[0.8755886805119673,0.12441131948803268]",0.0
135000000,"""[{""""id"""": 16"," """"name"""": """"Animation""""}"," {""""id"""": 35"," """"name"""": """"Comedy""""}"," {""""id"""": 10751"," """"name"""": """"Family""""}"," {""""id"""": 37",0.0," {""""id"""": 12"," """"name"""": """"Adventure""""}]""",http://www.rangomovie.com/,44896,0.0," """"name"""": """"sheriff""""}"," {""""id"""": 1197"," """"name"""": """"nevada""""}"," {""""id"""": 2551",0.0,0,,,-1,-1,3.0,"(8,[0,1,2,3],[135000000.0,-1.0,-1.0,3.0])",0,"[17.90180712025288,2.098192879747115]","[0.8950903560126443,0.10490964398735579]",0.0
32000000,"""[{""""id"""": 80"," """"name"""": """"Crime""""}"," {""""id"""": 35"," """"name"""": """"Comedy""""}"," {""""id"""": 28"," """"name"""": """"Action""""}]""",http://www.bigmommaslikefatherlikeson.com/,38322.0,"""[{""""id"""": 1568"," """"name"""": """"undercover""""}"," {""""id"""": 1812",0,0.0," """"name"""": """"sequel""""}"," {""""id"""": 10267"," """"name"""": """"comedy""""}"," {""""id"""": 18118",0.0,0,,,-1,-1,9.0,"[32000000.0,-1.0,-1.0,9.0,38322.0,0.0,0.0,0.0]",0,"[19.34965961436065,0.6503403856393506]","[0.9674829807180325,0.03251701928196753]",0.0
40000000,"""[{""""id"""": 18"," """"name"""": """"Drama""""}]""",http://extremelyloudandincrediblyclose.warnerbros.com/,64685,"""[{""""id"""": 818"," """"name"""": """"based on novel""""}"," {""""id"""": 1646",0.0," {""""id"""": 2849"," """"name"""": """"key""""}"," {""""id"""": 8783",0,0.0," """"name"""": """"death of father""""}"," {""""id"""": 11336"," """"name"""": """"young boy""""}"," {""""id"""": 14512",0.0,0,,,-1,-1,18.0,"(8,[0,1,2,3],[40000000.0,-1.0,-1.0,18.0])",0,"[19.62381757081193,0.37618242918807115]","[0.9811908785405965,0.01880912145940356]",0.0
50000000,"""[{""""id"""": 18"," """"name"""": """"Drama""""}"," {""""id"""": 35"," """"name"""": """"Comedy""""}"," {""""id"""": 10751"," """"name"""": """"Family""""}]""",http://www.weboughtazoo.com/,74465.0,"""[{""""id"""": 2172"," """"name"""": """"zoo""""}]""",en,0,0.0,38.629763,"""[{""""name"""": """"Twentieth Century Fox Film Corporation"""""," """"id"""": 306}"," {""""name"""": """"Dune Entertainment""""",0.0,0,,,-1,-1,3.0,"[50000000.0,-1.0,-1.0,3.0,74465.0,0.0,0.0,0.0]",0,"[17.64420122089103,2.3557987791089703]","[0.8822100610445516,0.11778993895544851]",0.0
