budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
237000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}"," {""""id"""": 878"," """"name"""": """"Science Fiction""""}]""",http://www.avatarmovie.com/,19995,"""[{""""id"""": 1463"," """"name"""": """"culture clash""""}"," {""""id"""": 2964"," """"name"""": """"future""""}"," {""""id"""": 3386"," """"name"""": """"space war""""}"," {""""id"""": 3388"," """"name"""": """"space colony""""}"," {""""id"""": 3679"
300000000,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}"," {""""id"""": 28"," """"name"""": """"Action""""}]""",http://disney.go.com/disneypictures/pirates/,285,"""[{""""id"""": 270"," """"name"""": """"ocean""""}"," {""""id"""": 726"," """"name"""": """"drug abuse""""}"," {""""id"""": 911"," """"name"""": """"exotic island""""}"," {""""id"""": 1319"," """"name"""": """"east india trading company""""}"," {""""id"""": 2038"," """"name"""": """"love of one's life""""}"," {""""id"""": 2052"
245000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 80"," """"name"""": """"Crime""""}]""",http://www.sonypictures.com/movies/spectre/,206647,"""[{""""id"""": 470"," """"name"""": """"spy""""}"," {""""id"""": 818"," """"name"""": """"based on novel""""}"," {""""id"""": 4289"," """"name"""": """"secret agent""""}"," {""""id"""": 9663"," """"name"""": """"sequel""""}"," {""""id"""": 14555"," """"name"""": """"mi6""""}"," {""""id"""": 156095"
250000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 80"," """"name"""": """"Crime""""}"," {""""id"""": 18"," """"name"""": """"Drama""""}"," {""""id"""": 53"," """"name"""": """"Thriller""""}]""",http://www.thedarkknightrises.com/,49026,"""[{""""id"""": 849"," """"name"""": """"dc comics""""}"," {""""id"""": 853"," """"name"""": """"crime fighter""""}"," {""""id"""": 949"," """"name"""": """"terrorist""""}"," {""""id"""": 1308"," """"name"""": """"secret identity""""}"," {""""id"""": 1437"
260000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 878"," """"name"""": """"Science Fiction""""}]""",http://movies.disney.com/john-carter,49529,"""[{""""id"""": 818"," """"name"""": """"based on novel""""}"," {""""id"""": 839"," """"name"""": """"mars""""}"," {""""id"""": 1456"," """"name"""": """"medallion""""}"," {""""id"""": 3801"," """"name"""": """"space travel""""}"," {""""id"""": 7376"," """"name"""": """"princess""""}"," {""""id"""": 9951"
258000000,"""[{""""id"""": 14"," """"name"""": """"Fantasy""""}"," {""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}]""",http://www.sonypictures.com/movies/spider-man3/,559,"""[{""""id"""": 851"," """"name"""": """"dual identity""""}"," {""""id"""": 1453"," """"name"""": """"amnesia""""}"," {""""id"""": 1965"," """"name"""": """"sandstorm""""}"," {""""id"""": 2038"," """"name"""": """"love of one's life""""}"," {""""id"""": 3446"," """"name"""": """"forgiveness""""}"," {""""id"""": 3986"
260000000,"""[{""""id"""": 16"," """"name"""": """"Animation""""}"," {""""id"""": 10751"," """"name"""": """"Family""""}]""",http://disney.go.com/disneypictures/tangled/,38757,"""[{""""id"""": 1562"," """"name"""": """"hostage""""}"," {""""id"""": 2343"," """"name"""": """"magic""""}"," {""""id"""": 2673"," """"name"""": """"horse""""}"," {""""id"""": 3205"," """"name"""": """"fairy tale""""}"," {""""id"""": 4344"," """"name"""": """"musical""""}"," {""""id"""": 7376"," """"name"""": """"princess""""}"," {""""id"""": 10336"
280000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 878"," """"name"""": """"Science Fiction""""}]""",http://marvel.com/movies/movie/193/avengers_age_of_ultron,99861,"""[{""""id"""": 8828"," """"name"""": """"marvel comic""""}"," {""""id"""": 9663"," """"name"""": """"sequel""""}"," {""""id"""": 9715"," """"name"""": """"superhero""""}"," {""""id"""": 9717"," """"name"""": """"based on comic book""""}"," {""""id"""": 10629"," """"name"""": """"vision""""}"," {""""id"""": 155030"
250000000,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}"," {""""id"""": 10751"," """"name"""": """"Family""""}]""",http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,767,"""[{""""id"""": 616"," """"name"""": """"witch""""}"," {""""id"""": 2343"," """"name"""": """"magic""""}"," {""""id"""": 3872"," """"name"""": """"broom""""}"," {""""id"""": 3884"," """"name"""": """"school of witchcraft""""}"," {""""id"""": 6333"," """"name"""": """"wizardry""""}"," {""""id"""": 10164"
250000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}]""",http://www.batmanvsupermandawnofjustice.com/,209112,"""[{""""id"""": 849"," """"name"""": """"dc comics""""}"," {""""id"""": 7002"," """"name"""": """"vigilante""""}"," {""""id"""": 9715"," """"name"""": """"superhero""""}"," {""""id"""": 9717"," """"name"""": """"based on comic book""""}"," {""""id"""": 9748"," """"name"""": """"revenge""""}"," {""""id"""": 163455"
270000000,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}"," {""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 878"," """"name"""": """"Science Fiction""""}]""",http://www.superman.com,1452,"""[{""""id"""": 83"," """"name"""": """"saving the world""""}"," {""""id"""": 849"," """"name"""": """"dc comics""""}"," {""""id"""": 8872"," """"name"""": """"invulnerability""""}"," {""""id"""": 9663"," """"name"""": """"sequel""""}"," {""""id"""": 9715"
200000000,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 53"," """"name"""": """"Thriller""""}"," {""""id"""": 80"," """"name"""": """"Crime""""}]""",http://www.mgm.com/view/movie/234/Quantum-of-Solace/,10764,"""[{""""id"""": 627"," """"name"""": """"killing""""}"," {""""id"""": 1568"," """"name"""": """"undercover""""}"," {""""id"""": 4289"," """"name"""": """"secret agent""""}"," {""""id"""": 156095"," """"name"""": """"british secret service""""}]""",en
200000000,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}"," {""""id"""": 28"," """"name"""": """"Action""""}]""",http://disney.go.com/disneypictures/pirates/,58,"""[{""""id"""": 616"," """"name"""": """"witch""""}"," {""""id"""": 663"," """"name"""": """"fortune teller""""}"," {""""id"""": 910"," """"name"""": """"bondage""""}"," {""""id"""": 911"," """"name"""": """"exotic island""""}"," {""""id"""": 1299"," """"name"""": """"monster""""}"," {""""id"""": 1316"
255000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 37"," """"name"""": """"Western""""}]""",http://disney.go.com/the-lone-ranger/,57201,"""[{""""id"""": 1556"," """"name"""": """"texas""""}"," {""""id"""": 2673"," """"name"""": """"horse""""}"," {""""id"""": 5385"," """"name"""": """"survivor""""}"," {""""id"""": 5901"," """"name"""": """"texas ranger""""}"," {""""id"""": 9104"," """"name"""": """"partner""""}"," {""""id"""": 9503"
225000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}"," {""""id"""": 878"," """"name"""": """"Science Fiction""""}]""",http://www.manofsteel.com/,49521,"""[{""""id"""": 83"," """"name"""": """"saving the world""""}"," {""""id"""": 849"," """"name"""": """"dc comics""""}"," {""""id"""": 9715"," """"name"""": """"superhero""""}"," {""""id"""": 9717"," """"name"""": """"based on comic book""""}"," {""""id"""": 10761"
220000000,"""[{""""id"""": 878"," """"name"""": """"Science Fiction""""}"," {""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}]""",http://marvel.com/avengers_movie/,24428,"""[{""""id"""": 242"," """"name"""": """"new york""""}"," {""""id"""": 5539"," """"name"""": """"shield""""}"," {""""id"""": 8828"," """"name"""": """"marvel comic""""}"," {""""id"""": 9715"," """"name"""": """"superhero""""}"," {""""id"""": 9717"," """"name"""": """"based on comic book""""}"," {""""id"""": 14909"
380000000,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}]""",http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,1865,"""[{""""id"""": 658"," """"name"""": """"sea""""}"," {""""id"""": 1316"," """"name"""": """"captain""""}"," {""""id"""": 1860"," """"name"""": """"mutiny""""}"," {""""id"""": 1938"," """"name"""": """"sword""""}"," {""""id"""": 2569"," """"name"""": """"prime minister""""}"," {""""id"""": 3180"
225000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 35"," """"name"""": """"Comedy""""}"," {""""id"""": 878"," """"name"""": """"Science Fiction""""}]""",http://www.sonypictures.com/movies/meninblack3/,41154,"""[{""""id"""": 4379"," """"name"""": """"time travel""""}"," {""""id"""": 5455"," """"name"""": """"time machine""""}"," {""""id"""": 9951"," """"name"""": """"alien""""}"," {""""id"""": 174915"," """"name"""": """"fictional government agency""""}"," {""""id"""": 185668"," """"name"""": """"seeing the future""""}"," {""""id"""": 208756"
250000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}]""",http://www.thehobbit.com/,122917,"""[{""""id"""": 417"," """"name"""": """"corruption""""}"," {""""id"""": 603"," """"name"""": """"elves""""}"," {""""id"""": 604"," """"name"""": """"dwarves""""}"," {""""id"""": 606"," """"name"""": """"orcs""""}"," {""""id"""": 609"," """"name"""": """"middle-earth (tolkien)""""}"," {""""id"""": 611"
215000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}]""",http://www.theamazingspiderman.com,1930,"""[{""""id"""": 1872"," """"name"""": """"loss of father""""}"," {""""id"""": 7002"," """"name"""": """"vigilante""""}"," {""""id"""": 8803"," """"name"""": """"serum""""}"," {""""id"""": 8828"," """"name"""": """"marvel comic""""}"," {""""id"""": 156855"," """"name"""": """"scientific experiment""""}"," {""""id"""": 158124"
200000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}]""",http://www.robinhoodthemovie.com/,20662,"""[{""""id"""": 4147"," """"name"""": """"robin hood""""}"," {""""id"""": 4393"," """"name"""": """"archer""""}"," {""""id"""": 10466"," """"name"""": """"knight""""}"," {""""id"""": 11525"," """"name"""": """"sherwood forest""""}"," {""""id"""": 18101"," """"name"""": """"bow and arrow""""}"," {""""id"""": 41406"," """"name"""": """"middle ages""""}"," {""""id"""": 161257"
250000000,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}]""",http://www.thehobbit.com/,57158,"""[{""""id"""": 603"," """"name"""": """"elves""""}"," {""""id"""": 604"," """"name"""": """"dwarves""""}"," {""""id"""": 606"," """"name"""": """"orcs""""}"," {""""id"""": 611"," """"name"""": """"hobbit""""}"," {""""id"""": 12554"," """"name"""": """"dragon""""}"," {""""id"""": 177912"," """"name"""": """"wizard""""}"," {""""id"""": 234213"
180000000,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}]""",http://www.goldencompassmovie.com/index_german.html,2268,"""[{""""id"""": 392"," """"name"""": """"england""""}"," {""""id"""": 1461"," """"name"""": """"compass""""}"," {""""id"""": 1706"," """"name"""": """"experiment""""}"," {""""id"""": 2596"," """"name"""": """"lordship""""}"," {""""id"""": 6464"," """"name"""": """"uncle""""}"," {""""id"""": 6678"," """"name"""": """"polar bear""""}"," {""""id"""": 13014"
200000000,"""[{""""id"""": 18"," """"name"""": """"Drama""""}"," {""""id"""": 10749"," """"name"""": """"Romance""""}"," {""""id"""": 53"," """"name"""": """"Thriller""""}]""",http://www.titanicmovie.com,597,"""[{""""id"""": 2580"," """"name"""": """"shipwreck""""}"," {""""id"""": 2984"," """"name"""": """"iceberg""""}"," {""""id"""": 3799"," """"name"""": """"ship""""}"," {""""id"""": 4210"," """"name"""": """"panic""""}"," {""""id"""": 4388"," """"name"""": """"titanic""""}"," {""""id"""": 4953"
250000000,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 878"," """"name"""": """"Science Fiction""""}]""",http://marvel.com/captainamericapremiere,271110,"""[{""""id"""": 393"," """"name"""": """"civil war""""}"," {""""id"""": 6091"," """"name"""": """"war""""}"," {""""id"""": 8828"," """"name"""": """"marvel comic""""}"," {""""id"""": 9663"," """"name"""": """"sequel""""}"," {""""id"""": 9715"," """"name"""": """"superhero""""}"," {""""id"""": 9717"
150000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 878"," """"name"""": """"Science Fiction""""}"," {""""id"""": 53"," """"name"""": """"Thriller""""}]""",http://www.jurassicworld.com/,135397,"""[{""""id"""": 1299"," """"name"""": """"monster""""}"," {""""id"""": 1718"," """"name"""": """"dna""""}"," {""""id"""": 1720"," """"name"""": """"tyrannosaurus rex""""}"," {""""id"""": 1766"," """"name"""": """"velociraptor""""}"," {""""id"""": 2041"
200000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 53"," """"name"""": """"Thriller""""}]""",http://www.skyfall-movie.com,37724,"""[{""""id"""": 470"," """"name"""": """"spy""""}"," {""""id"""": 4289"," """"name"""": """"secret agent""""}"," {""""id"""": 9740"," """"name"""": """"sociopath""""}"," {""""id"""": 15127"," """"name"""": """"killer""""}"," {""""id"""": 15478"," """"name"""": """"art gallery""""}"," {""""id"""": 156095"
200000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}]""",http://www.sonypictures.com/movies/spider-man2/,558,"""[{""""id"""": 851"," """"name"""": """"dual identity""""}"," {""""id"""": 2038"," """"name"""": """"love of one's life""""}"," {""""id"""": 5983"," """"name"""": """"pizza boy""""}"," {""""id"""": 8828"," """"name"""": """"marvel comic""""}"," {""""id"""": 9663"," """"name"""": """"sequel""""}"," {""""id"""": 9715"
