name,funding_total_usd,founded_year,first_funding_at,last_funding_at,is_successful
#waywire,1750000.0,2012.0,2012-06-30,2012-06-30,0
&TV Communications,4000000.0,2012.0,2010-06-04,2010-09-23,1
'Rock' Your Paper,40000.0,2012.0,2012-08-09,2012-08-09,1
(In)Touch Network,1500000.0,2011.0,2011-04-01,2011-04-01,1
-R- Ranch and Mine,60000.0,2014.0,2014-08-17,2014-09-26,1
.Club Domains,7000000.0,2011.0,2013-05-31,2013-05-31,1
.Fox Networks,4912393.0,2011.0,2007-01-16,2007-01-16,0
0-6.com,2000000.0,2007.0,2008-03-19,2008-03-19,1
004 Technologies,2000000.0,2010.0,2014-07-24,2014-07-24,1
01Games Technology,41250.0,2010.0,2014-07-01,2014-07-01,1
"1,2,3 Listo",40000.0,2012.0,2013-02-18,2013-02-18,1
1-4 All,40000.0,2012.0,2013-04-21,2013-04-21,1
1-800-DENTIST,40000.0,1986.0,2010-08-19,2010-08-19,1
1-800-DOCTORS,1750000.0,1984.0,2011-03-02,2011-03-02,1
1.618 Technology,1750000.0,2013.0,2014-01-22,2014-01-22,1
10 Minutes With,4400000.0,2013.0,2013-01-01,2014-10-09,1
10-20 Media,2050000.0,2001.0,2009-06-18,2011-12-28,1
1000 Corks,40000.0,2008.0,2011-08-23,2011-08-23,1
1000 Markets,500000.0,2009.0,2009-05-15,2009-05-15,0
1000jobboersen.de,500000.0,2009.0,2011-09-16,2011-09-16,1
1000memories,2535000.0,2010.0,2010-01-01,2011-02-16,0
1000museums.com,4962651.0,2008.0,2009-10-14,2014-09-19,1
1001 Menus,4059079.0,2010.0,2012-12-15,2013-11-13,1
1006.tv,10000000.0,2009.0,2011-01-01,2014-07-31,1
100du.tv,3000000.0,2009.0,2008-01-07,2010-08-13,1
100e.com,4500000.0,2009.0,2006-01-01,2006-09-01,1
100health,420000.0,2014.0,2014-11-26,2014-11-26,1
100Plus,1250000.0,2011.0,2011-11-02,2011-11-30,0
1010data,35000000.0,2000.0,2010-03-08,2010-03-08,1
10°North,35000000.0,2014.0,2014-08-12,2014-08-12,1
10BestThings,50000.0,2009.0,2009-04-01,2009-04-01,0
10sec,1600000.0,2013.0,2013-10-31,2014-05-08,1
10seconds Software,100000.0,2009.0,2010-07-01,2010-07-01,1
10Six,100000.0,2009.0,2014-02-01,2014-02-01,1
10X Technologies,3000000.0,2012.0,2012-11-07,2012-11-07,1
10X10 Room,77500.0,2010.0,2011-10-12,2011-10-12,1
115 network disks,77500.0,2010.0,2011-11-01,2011-11-01,1
117go,20000000.0,2011.0,2014-04-28,2014-04-28,1
11i Solutions,1800000.0,2011.0,2011-03-22,2011-03-22,1
12 Labs,1800000.0,2011.0,0026-11-14,0026-11-14,1
12 Star Survival,1800000.0,2013.0,2013-10-17,2013-10-17,1
120 Sports,1800000.0,2013.0,2014-02-20,2014-02-20,1
121 Rentals,1800000.0,2011.0,2014-09-03,2014-09-03,1
121cast,270000.0,2012.0,2012-05-01,2012-11-13,1
121nexus,794000.0,2011.0,2012-02-06,2014-01-01,1
1234ENTER,650267.0,2012.0,2012-09-01,2013-11-22,1
123ContactForm,650267.0,2008.0,2010-01-01,2010-01-01,1
1248,378812.0,2013.0,2014-03-18,2014-03-18,1
12Bis,130636.0,2008.0,2012-03-15,2012-03-15,1
12Return,619494.0,2010.0,2012-06-01,2012-06-01,1
12Society,619494.0,2012.0,2012-04-05,2012-04-05,0
1366 Technologies,66450000.0,2007.0,2008-03-27,2013-12-12,1
139shop,66450000.0,2007.0,2007-02-01,2007-02-01,1
13th Lab,700000.0,2010.0,2012-06-15,2012-06-15,1
140 Proof,5500000.0,2010.0,2009-07-01,2011-04-28,1
140Fire,500000.0,2010.0,2010-05-05,2010-05-05,1
159.com,6204822.0,2010.0,2008-02-01,2011-03-01,1
15Five,3400000.0,2011.0,2012-01-01,2014-10-02,1
15MinutesNOW,200000.0,2011.0,2011-05-10,2011-05-10,1
16 Mile Solutions,199957.0,2006.0,2009-06-11,2009-06-11,1
169 ST.,50000.0,2009.0,2009-06-01,2009-06-01,1
16Lab Inc.,50000.0,2013.0,2014-11-26,2014-11-26,1
170 Systems,14000000.0,1990.0,2002-04-16,2002-04-16,0
17u.cn,84440319.0,2004.0,2008-01-01,2014-02-17,1
1871,2500000.0,2004.0,2014-06-17,2014-06-17,1
19pay,9478511.0,2005.0,2006-01-01,2013-07-01,1
1bib,9478511.0,2006.0,2008-02-07,2008-02-07,0
1C Company,200000000.0,1991.0,2011-10-03,2011-10-03,0
1calendar,40000.0,2009.0,2008-04-04,2008-04-04,1
1Cast,40000.0,2006.0,2008-08-12,2008-08-12,0
1CLICK,40000.0,2012.0,2014-01-26,2014-01-26,1
1CloudStar,40000.0,2012.0,2013-08-01,2013-08-01,1
1d4 Pty,40000.0,2012.0,2012-04-11,2012-04-11,1
1DayLater,43811.0,2009.0,2009-05-01,2009-10-01,1
1DayMakeover,50000.0,2008.0,2008-06-30,2008-06-30,0
1DocWay,50000.0,2011.0,2011-08-10,2011-08-10,1
1Energy Systems,1450000.0,2010.0,2013-04-22,2013-04-22,1
1EQ,2100000.0,2013.0,2012-07-01,2013-12-23,1
1jiajie,4163132.0,2013.0,2013-09-01,2014-09-16,1
1Lay,170000.0,2013.0,2014-05-30,2014-05-30,1
1Life Healthcare,30000000.0,2002.0,2013-03-21,2013-03-21,1
1Mind,500000.0,2011.0,2013-08-05,2013-08-05,1
1o1Media,500000.0,2012.0,2013-10-01,2013-10-01,1
1Rebel,2572969.0,2012.0,2014-09-01,2014-09-01,1
1Ring,2572969.0,2009.0,2011-02-21,2011-02-21,1
1RP Media,2572969.0,2011.0,2012-06-29,2012-06-29,1
1SDK,156000.0,2013.0,2013-08-05,2013-09-02,1
1spire,30000.0,2011.0,2011-12-20,2011-12-20,1
1st Choice Lawn Care,30000.0,2012.0,2012-07-22,2012-07-22,1
1st Merchant Funding,10000000.0,2007.0,2014-05-07,2014-05-07,1
1stdibs,117000000.0,2001.0,2011-11-03,2014-01-24,1
1stGig.com,750000.0,2009.0,2012-10-01,2012-10-01,1
1V1 DRAFT GAEMS,750000.0,2014.0,2014-08-28,2014-08-28,1
1World Online,1500000.0,2011.0,2013-07-02,2013-12-01,1
2 Minutes,1660000.0,2000.0,2008-06-19,2008-06-19,1
2 Pro Media Group,41250.0,2011.0,2014-01-01,2014-01-01,1
2-Observe,204189.0,2010.0,2014-06-25,2014-06-25,1
20/20 Gene Systems Inc.,150000.0,2000.0,2012-09-25,2012-09-25,1
2080 Media,41000000.0,2008.0,2010-08-05,2013-07-19,1
20:20 Mobile,29750000.0,2006.0,2008-07-04,2008-07-04,1
20lines,1236454.0,2012.0,2012-11-15,2014-06-01,1
20x200,2800000.0,2007.0,2009-10-01,2010-08-01,1
21Cake Food Co.,1464128.0,2004.0,2010-01-22,2010-01-22,1
21Diamonds,6369507.0,2012.0,2012-11-15,2012-11-15,1
2.10E+07,5050000.0,2013.0,2013-11-17,2013-11-17,1
21GRAMS,2580000.0,2013.0,2006-04-03,2006-04-03,1
21st Century Oncology,325000000.0,2013.0,2014-09-26,2014-09-26,1
21viaNet,100000000.0,2009.0,2012-12-01,2013-10-01,1
22nd Century Group,15034750.0,1998.0,2010-12-28,2014-09-18,1
22seeds,250000.0,2010.0,2013-10-15,2013-10-15,1
2345.com,1610541.0,2005.0,2010-05-01,2010-10-01,1
2359 Media,615000.0,2009.0,2011-01-11,2011-01-11,1
23andMe,111949900.0,2006.0,2007-05-01,2014-07-29,1
23press,50000.0,2011.0,2011-08-15,2011-08-15,1
24 Hour Pro Muscle Gym,50000.0,2014.0,2014-10-23,2014-10-23,1
24 Media Network,1209701.0,2014.0,2008-09-01,2009-01-01,1
24 Quan,1209701.0,2014.0,2010-05-01,2011-11-01,1
24/7 Card,3452941.0,2014.0,2010-10-25,2011-12-21,0
247 Techies,600000.0,2014.0,2012-11-05,2012-11-05,1
248 SolidState,500000.0,2007.0,2009-07-23,2009-07-23,1
24Fundraiser.com,400000.0,2007.0,2014-05-01,2014-05-01,1
24h00,400000.0,2006.0,2006-08-01,2006-08-01,1
24M Technologies,16000000.0,2010.0,2010-08-16,2010-08-16,1
