budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,title,cast,crew
0,[],,191229,[],en,Iguana,A grotesquely disfigured harpooner called Iguana is severely mistreated by his fellow sailors on a whaling ship in the 19th century. One night he escapes and takes up residence on a remote island. He makes himself ruler of the island and declares war on mankind. Anyone unfortunate enough to wind up on the island with Iguana is subjected to his cruel tyranny.,0.214704,[],[],1988-04-01,0,88,"""[{""""iso_639_1"""": """"en"""""," """"name"""": """"English""""}"," {""""iso_639_1"""": """"es"""""," """"name"""": """"Espa\u00f1ol""""}]""",Released,,Iguana,"""[{""""cast_id"""": 6"," """"character"""": """"Oberlus"""""
0,[],,346081,[],en,Sardaarji,A ghost hunter uses bottles to capture troublesome spirits.,0.296981,[],"""[{""""iso_3166_1"""": """"IN"""""," """"name"""": """"India""""}]""",2015-06-26,0,0,[],Released,,Sardaarji,9.5,Sardaarji,[],"""[{""""credit_id"""": """"558ab3f4925141076f0001d7"""""
0,[],,371085,[],en,Sharkskin,"The Post War II story of Manhattan born Mike Esposito, a practiced tailor of custom mens clothing; a man of dignity and honor, whose developing involvements with the Italian mob wraps him up in a world of moral dilemma and clashing values.",0.027801,[],[],2015-01-01,0,0,[],Released,,Sharkskin,0.0,0,Sharkskin,[],[]
2000000,[],,48382,[],en,"The Book of Mormon Movie, Volume 1: The Journey","The story of Lehi and his wife Sariah and their four sons: Laman, Lemuel, Sam, and Nephi. Lehi leaves Jerusalem because he prophesied unto the people concerning the destruction of Jerusalem, and they sought his life. He journeys into the wilderness with his family. He sends Nephi and his brethren back to Jerusalem after the brass plates and the family of Ishmael. The sons and daughters of Lehi marry the sons and daughters of Ishmael. They take their families and continue into the wilderness. Ishmael dies in the wilderness. They come to the sea. Nephi's brethren rebel against him. He confounds them, and builds a ship. They cross the sea to the promised land in the Americas. Lehi dies in the promised land. Nephi's brethren rebel against him again. Nephi departs again into the wilderness.",0.031947,[],[],2003-09-12,1672730,120,[],Released,"2600 years ago, one family began a remarkable journey and set the course for a latter-day faith. This is their story.","The Book of Mormon Movie, Volume 1: The Journey",5.0,2,"The Book of Mormon Movie, Volume 1: The Journey","""[{""""cast_id"""": 1"," """"character"""": """"Sam"""""
0,[],,325140,[],en,Hum To Mohabbat Karega,"Raju, a waiter, is in love with the famous TV reporter Greeta Kapoor. After a man is murdered, Kapoor shows up at Raju's door to ask him some questions - it turns out that Raju served the dead man his last supper, and the authorities hope that he might be able to help them. Raju lies and says that he was an eye witness, in order to spend more time with Kapoor. He gives the police a false description of the killer, but it matches his best friend Kutti, so soon Kutti is wanted by the police, and the Mafia, who is responsible for the killing, is after Raju.",0.001186,[],[],2000-05-26,0,0,[],Released,,Hum To Mohabbat Karega,0.0,0,Hum To Mohabbat Karega,[],[]
1,[],http://thealgerianmovie.com/,357834,[],en,The Algerian,"The Algerian is an international political thriller about the colliding worlds of the Middle East and America. It follows Ali (Ben Youcef) across the world from Algeria to New York, Las Vegas and Los Angeles as it reveals he is a sleeper cell part of an international plot.",0.025364,"""[{""""name"""": """"Zelko Films"""""," """"id"""": 62451}]""","""[{""""iso_3166_1"""": """"DZ"""""," """"name"""": """"Algeria""""}"," {""""iso_3166_1"""": """"US"""""," """"name"""": """"United States of America""""}]""",2015-08-07,0,99,[],Released,The Algerian,"""[{""""cast_id"""": 8"," """"character"""": """"Ali"""""
1200000,[],,137955,[],en,Crowsnest,"In late summer of 2011, five young friends on a road trip went missing after being attacked by nomadic cannibals in a huge RV. Video was recorded by the victims &amp; recovered by police as evidence in their still-unsolved murders.",0.057564,[],"""[{""""iso_3166_1"""": """"CA"""""," """"name"""": """"Canada""""}]""",2012-01-01,0,84,[],Released,,Crowsnest,4.8,Crowsnest,[],[]
0,[],,206412,[],en,Lisa Picard Is Famous,"A documentarian decides to follow the career of New York actress Lisa Picard, believing she is on the brink of fame. Instead, he bears witness to Lisa's continued, humorous, struggles as an actress, as well as the conflict that arises when Lisa's best friend Tate hits it big with an off-Broadway one-man show.",0.690089,[],[],2000-05-14,0,90,[],Released,,Lisa Picard Is Famous,4.0,1,Lisa Picard Is Famous,"""[{""""cast_id"""": 2"," """"character"""": """""""""
0,[],,219716,[],en,Sparkler,"Melba is a Californian trailer-park girl who is told to look for three kings by a phone psychic, and when she meets three guys - Trent, Brad and Joel traveling to Las Vegas, she decides they are those kings and joins them on a trip. In Vegas she meets her old high school pal Dottie.",0.547654,[],[],1999-03-19,0,96,[],Released,,Sparkler,0.0,1,Sparkler,"""[{""""cast_id"""": 2"," """"character"""": """"Melba May"""""
0,[],,335874,[],en,Childless,"Katherine is a typical teenager. Today's her funeral. The four adults in her life have a lot on their mind - and it's not all about Katherine either. With a frankness that's strikingly disarming as well as frequently self-serving, the grown-ups struggle with being... well... grown-up.",0.243853,[],"""[{""""iso_3166_1"""": """"US"""""," """"name"""": """"United States of America""""}]""",2015-04-03,0,90,"""[{""""iso_639_1"""": """"en"""""," """"name"""": """"English""""}]""",Released,,Childless,Childless,"""[{""""cast_id"""": 1"," """"character"""": """""""""
